Feature1,Feature2
5.496714153011233,4.927989878419666
4.861735698828816,6.003532897892024
5.6476885381006925,5.361636025047634
6.523029856408026,4.354880245394876
4.765846625276664,5.361395605508414
4.765863043050819,6.538036566465969
6.5792128155073915,4.964173960890048
5.7674347291529084,6.564643655814006
4.530525614065048,2.3802548959102556
5.542560043585965,5.821902504375224
4.536582307187538,5.087047068238172
4.5342702464297435,4.7009926495341325
5.241962271566035,5.091760776535502
3.086719755342202,3.012431085399107
3.2750821674869672,4.780328112162488
4.437712470759028,5.357112571511746
3.9871688796655764,6.477894044741516
5.314247332595274,4.481729781726353
4.091975924478789,4.191506397106813
3.5876962986647083,4.498242956415464
6.465648768921554,5.915402117702074
4.774223699513464,5.3287511096596845
5.067528204687924,4.470239796232962
3.575251813786543,5.513267433113356
4.455617275474817,5.0970775493480405
5.110922589709866,5.968644990532889
3.8490064225776974,4.297946906122648
5.3756980183456715,4.672337853402232
4.399361310081195,4.607891846867842
4.708306250206723,3.5364850518678814
4.398293387770603,5.296120277064576
6.852278184508938,5.261055272179889
4.986502775262066,5.005113456642461
3.9422890710440996,4.765412866624853
5.822544912103189,3.5846292579495858
3.7791563500289778,4.579354677234641
5.208863595004756,4.65728548347323
3.040329876120224,4.197722730778381
3.6718139511015693,4.838714288333991
5.1968612358691235,5.404050856814538
5.738466579995411,6.88618590121053
5.17136828118997,5.174577812831839
4.88435171761176,5.2575503907227645
4.698896304410711,4.925554084233832
3.5214780096325726,3.0812287847009587
4.280155791605291,4.973486124550783
4.539361229040212,5.060230209941026
6.057122226218915,7.463242112485286
5.343618289568461,4.807639035218878
3.236959844637266,5.301547342333612
5.3240839693947954,4.965288230294757
4.6149177195836835,3.8313219623804677
4.323077999694041,6.1428228145150205
5.611676288840868,5.751933032686774
6.030999522495951,5.791031947043047
5.931280119116199,4.090612545205261
4.160782476777362,6.402794310936099
4.690787624148785,3.598148937207719
5.331263431403564,5.58685709380027
5.975545127122359,7.190455625809978
4.52082576215471,4.009463674869312
4.8143410233361825,4.433702270397228
3.893665025993972,5.099651365087642
3.803793375919329,4.496524345883801
5.812525822394198,3.4493365689338673
6.356240028570823,5.068562974806027
13.725235543528674,15.0698504621352
15.568310916762218,13.628435642603252
13.896690918919436,15.42934483241794
16.85992128602105,15.672941431641881
14.060096049196515,16.299661491810333
14.613526180553189,16.264562462441884
15.976220660843603,13.346796758451491
13.522962820279254,13.874609952101853
15.272951921524955,15.618042320650392
16.568571305138914,15.61654314109465
13.071020118526526,15.618057223567257
15.221560630238764,19.623277788785664
15.311859353098109,15.6850686128318
15.938187446132773,16.362678768216718
13.515659146946302,16.144802116191844
13.415452064298869,15.781669501566958
15.626329878740277,14.621676906431585
15.356381607879824,15.91076306459192
15.300591420415051,14.072609742554913
15.41573785139637,14.715817671911989
14.183970334105812,14.417563742605076
15.278704436593204,15.098248967263586
15.351686967958418,17.777590280008212
14.14277829836836,12.759281768889903
17.238929413373707,15.823512228449417
15.568599505094145,13.064740954572418
13.570435803356823,14.43368176105268
15.787864330360595,16.30674071636084
13.830381995727214,15.077136022914555
15.944501524490942,13.706706266484833
16.390314694808886,14.141635548888038
14.015181217977947,15.81551729872161
16.156051355093187,14.123560041939436
15.495337112323798,15.25975030749837
15.986472191993387,15.054686207884577
17.276151579184738,14.21807958287302
14.705534260796556,17.572732907190392
14.095516602771013,15.760702826781614
13.932582684449372,12.569828896010872
14.021027658041474,15.223745177723313
14.907477948703075,14.205856242277935
15.409382369779973,16.02292000175547
15.332028959196023,14.04897511388076
15.992619898843229,14.862316270239722
15.015602270253488,15.605984734776548
16.74424089258878,16.038906233004145
14.682411800114453,13.559644311533068
18.264202999907543,14.598598516990862
15.750800817318007,14.430065626606853
13.971410932300461,14.216004920911546
13.714929002326665,17.118545088337317
15.578966898291823,15.485978053153147
14.73184465760898,13.486939254797946
15.85680059291051,16.101434336465733
15.567885149488253,17.54658743641516
14.912605304811752,16.238958312661374
13.983847538317914,13.176756040855183
13.182183330376962,14.418919112560499
14.464182057519574,16.520293379023947
16.027678553188167,14.150796641257463
15.256912492956245,15.532583313775474
13.505113465545614,15.929560864115205
15.207817111021418,13.8876834341063
15.462380855674605,14.92856957272584
13.93937107655864,11.110479191917113
15.184470127134633,13.770734830398853
24.79794547888547,4.9902025817224684
24.001773454428122,4.282196502811335
26.30592904314531,5.060643646554981
23.855886897631493,4.45827063079031
24.647964410642413,5.780095786734201
25.104592461828872,4.8823540947982895
26.15301863125289,4.339602242565991
23.85131027905645,4.742891326677605
25.930531001723967,5.3303451634205
25.00818644881567,4.54902035775682
24.214793079161637,4.342223683546855
25.369682779410617,5.19494976919353
25.159247756458775,5.195973256886978
24.519826498272963,4.594445459703096
25.055841667992016,4.6231693555053415
24.691749122510593,5.185639949886109
25.090813876200997,3.8415325268021405
25.529704539616837,3.874028980498756
26.26881345291628,4.4252446229980515
24.00974760093852,4.829242278630522
26.706426699725014,5.248726052478403
23.438329760381997,6.180284973559642
24.878571923971535,5.686127698561616
25.470653765187663,4.872049176029258
25.224793494188027,4.984787033677849
24.501840384143524,4.197976508289753
24.83350219971418,4.985189491206088
24.605599252272935,4.769073088863889
24.52850819444463,5.258174848270472
25.67968167761682,4.338215245158142
25.285612388772037,5.415477211392938
24.445672323791477,6.2261911304020625
25.719679900346602,4.912991881234514
25.245839616701286,5.3213693776791535
25.65028969507117,5.55211519336889
25.50370307353889,4.679023622491331
24.336803991262343,5.179273985448334
24.551855167842426,5.010073920625436
25.59783488409861,5.078140878839065
25.48829621234677,4.381592172915627
24.983278724828683,5.019608139407154
25.093861906647025,5.39839863299636
26.02213191663074,6.160914886236034
24.526742888931334,5.767416660868165
25.43767790493603,6.722545966009245
24.838245878052884,4.38612194968956
24.825855037418222,5.6978565093765425
25.879021481589753,5.146673604590681
25.660333079190423,6.751842346574138
25.65080770880051,4.353361371715879
26.044383045723464,4.328222526255379
25.016803073306207,4.520485883644782
25.54556237703597,3.3008834205521547
24.751786594725235,4.579395982655392
25.259333081990754,4.392693870757041
24.895885556505853,5.120315029180966
25.077596771994173,5.2734047806217275
25.47612562034953,6.500936671372709
24.345423453413222,5.76033907054884
26.673909820548367,4.538477075470078
24.19518609480024,4.281268262921314
24.028649109769816,5.393535337205204
25.926488698800053,3.943813434383486
25.63333015517035,6.465167012683483
25.499295853641723,5.943552096577029
25.502676407411425,4.624659478316236
